date,food_calories
2013-08-17,2727
2013-08-18,1091
2013-08-19,1622
2013-08-20,1440
2013-08-21,1648
2013-08-22,1751
2013-08-23,1741
2013-08-24,2205
2013-08-25,610
2019-02-09,758
2021-12-21,2161
2021-12-22,2161
2021-12-23,2068
2021-12-24,1217
2021-12-27,1788
2022-01-15,1814
2022-01-25,1667
2024-02-03,2159
2024-02-04,2003
2024-02-05,1683
2024-02-06,2602
2024-02-07,1908
2024-02-08,1936
2024-02-09,1993
2024-02-10,2200
2024-02-11,2259
2024-02-12,2522
2024-02-13,1870
2024-02-26,2091
2024-02-27,2048
2024-02-28,1669
2024-02-29,2081
2024-03-01,1918
2024-03-02,1949
2024-03-03,2121
2024-03-04,2266
2024-03-05,2061
2024-03-06,2088
2024-03-07,2027
2024-03-08,2114
2024-03-09,2777
2024-03-10,3038
2024-03-11,1805
2024-03-12,2395
2024-03-13,2333
2024-03-14,2376
2024-03-15,2184
2024-03-16,2543
2024-03-17,2334
2024-03-18,1720
2024-03-19,1901
2024-03-20,1816
2024-03-21,2101
2024-03-22,1483
2024-03-23,2208
2024-03-25,1957
2024-03-26,2188
2024-03-27,1972
2024-03-28,2051
2024-03-29,3206
2024-03-30,4281
2024-03-31,2060
2024-04-01,1935
2024-04-02,1807
2024-04-03,1609
2024-04-04,2064
2024-04-05,1794
2024-04-06,2157
2024-04-08,2016
2024-04-09,1846
2024-04-10,2004
2024-04-11,2196
2024-04-12,1599
2024-04-13,2647
2024-04-14,2736
2024-04-15,1511
2024-04-16,1805
2024-04-17,2109
2024-04-18,1866
2024-04-19,1700
2024-04-20,4564
2024-04-22,1719
2024-04-23,1964
2024-04-24,1957
2024-04-25,2512
2024-04-26,1543
2024-04-27,2530
2024-04-28,2462
2024-04-29,1407
2024-04-30,2144
2024-05-01,1899
2024-05-02,2320
2024-05-03,1060
2024-05-04,1284
2024-05-06,1179
2024-05-07,1863
2024-05-08,1585
2024-05-09,1607
2024-05-10,843
2024-05-11,4403
2024-05-12,1165
2024-05-13,1111
2024-05-14,3580
2024-05-15,936
2024-05-16,1567
2024-05-17,1698
2024-05-18,3894
2024-05-19,3411
2024-05-20,1627
2024-05-21,1737
2024-05-22,1567
2024-05-23,2139
2024-05-24,2049
2024-05-25,3638
2024-05-26,3888
2024-05-27,1162
2024-05-28,1880
2024-05-29,1893
2024-05-30,1518
2024-05-31,1539
2024-06-03,1518
2024-06-04,1811
2024-06-05,1950
2024-06-06,2023
2024-06-07,1203
2024-06-08,4484
2024-06-09,4818
2024-06-10,1332
2024-06-11,1263
2024-06-12,1104
2024-06-13,1625
2024-06-14,1947
2024-06-15,4023
2024-06-16,2950
2024-06-17,1310
2024-06-18,1198
2024-06-19,1386
2024-06-20,1933
2024-06-21,1054
2024-06-22,3097
2024-06-23,1981
2024-06-24,1771
2024-06-25,1669
2024-06-26,1924
2024-06-27,1770
2024-07-02,1155
2024-07-03,1316
2024-07-04,4010
2024-07-05,2260
2024-07-06,3800
2024-07-07,3409
2024-07-08,1516
2024-07-09,1909
2024-07-10,1439
2024-07-11,1240
2024-07-12,1720
2024-07-13,3904
2024-07-14,3308
2024-07-15,1237
2024-07-16,1349
2024-07-17,2917
2024-07-18,778
2024-07-19,1585
2024-07-20,3179
2024-07-21,2186
2024-07-22,3625
2024-07-23,4726
2024-07-24,3999
2024-07-25,1400
2024-07-26,804
2024-07-27,4054
2024-07-28,2752
2024-07-29,1086
2024-07-30,1206
2024-07-31,1377
2024-08-01,1602
2024-08-02,1324
2024-08-03,2643
2024-08-04,2446
2024-08-05,1763
2024-08-06,1716
2024-08-07,1660
2024-08-08,1603
